a	b	nSites	R0	R1	KING
20	54	7844	0.902284	0.176761	-0.119106
20	55	6045	3.203957	0.104878	-0.649137
21	22	111	545319.543509	0.000001	-1.066277
21	23	93	398631848766252.625000	0.000000	-2.926462
21	24	156	5298.494369	0.000114	-3.054396
21	25	106	3880848914412.664062	0.000000	-3.204702
21	26	127	10035.235655	0.000051	-2.068360
21	27	112	20227.796661	0.000030	-2.977793
21	28	94	2934694770734713369863665685468640293215651671073680644857260634186175425573113518904576049152.000000	0.000000	-8866.604254
21	29	172	42742.851310	0.000014	-3.146456
21	30	14	22402432942908520.000000	0.000000	-85876.818905
21	31	145	4818758062030380335104.000000	0.000000	-4.124119
21	32	83	394007258075576357879808.000000	0.000000	-3.661086
21	33	54	123318341.035216	0.000000	-990805.187127
21	34	-1	-1	-1	-1
21	35	101	9074249575209210149228602433841389293938633659900894599831717028929223000064.000000	0.000000	-0.913069
21	36	102	83581501469038.312500	0.000000	-0.620437
21	37	97	975370.445989	0.000000	-1.884875
21	38	100	41752574442202952656863887360.000000	0.000000	-0.290079
21	39	113	19179.068886	0.000030	-2.641555
21	40	52	655063.357759	0.000001	-6.667386
21	41	120	7795.913834	0.000063	-1.927164
21	42	46	2461702972204596567915409434987833679072368525312.000000	0.000000	-0.530690
21	43	100	290802.529438	0.000002	-3.457963
21	44	112	27678396.489354	0.000000	-1.117189
21	45	108	387117.448484	0.000001	-2.044457
21	46	103	14393.945037	0.000012	-0.430010
21	47	86	5550126.967520	0.000000	-825931.122395
21	48	89	11196.219725	0.000029	-0.943695
21	49	90	240812.188516	0.000001	-0.850782
21	50	95	683991154.070054	0.000000	-1.736129
21	51	131	27193.465566	0.000020	-2.325648
21	52	96	529916.192730	0.000001	-0.850442
21	53	107	385856.096184	0.000001	-2.349299
21	54	109	4429992.179799	0.000000	-1.380745
21	55	86	34176975.490735	0.000000	-1.464555
22	23	214	23957.490990	0.000012	-0.819979
22	24	554	10.380048	0.035507	-0.998838
22	25	468	1.008741	0.114839	-0.104905
22	26	404	18.792224	0.021197	-1.204043
22	27	436	23.916737	0.016131	-1.168605
22	28	339	2.288890	0.097113	-0.357477
22	29	604	8.098802	0.048733	-1.053825
22	30	39	51960477270803699840245711935125308777168896.000000	0.000000	-6.683847
22	31	548	8.102388	0.045451	-0.956328
22	32	347	0.566517	0.173496	-0.018484
22	33	105	16377114586848225192963184001024.000000	0.000000	-0.349131
22	34	4	0.000000	1.873379	0.394665
22	35	403	0.021336	3.482222	0.422505
22	36	471	0.007503	6.050328	0.456485
22	37	438	0.000000	1.604487	0.381206
22	38	404	0.039095	5.501073	0.430212
22	39	373	3.098715	0.155067	-0.971460
22	40	111	181016.053860	0.000001	-0.264385
22	41	345	6.775748	0.079040	-1.593624
22	42	207	0.298571	0.385431	0.093776
22	43	335	9961.214965	0.000059	-2.810039
22	44	393	1636942.037736	0.000000	-1.642426
22	45	399	10.336188	0.052552	-1.839784
22	46	346	287301.846778	0.000002	-1.515533
22	47	339	1.525045	0.189965	-0.357216
22	48	301	42545.834798	0.000009	-1.208576
22	49	299	727601.014325	0.000001	-1.592880
22	50	301	12.519104	0.046953	-2.230103
22	51	388	6.824370	0.084957	-1.820926
22	52	325	53879.527923	0.000008	-1.430095
22	53	362	132932.295244	0.000004	-1.749172
22	54	386	2.390227	0.170090	-0.688732
22	55	311	487262.916443	0.000001	-1.453273
23	24	225	43.931952	0.011775	-2.020543
23	25	223	2.779099	0.243975	-1.373082
23	26	157	354437.472378	0.000001	-1.522480
23	27	174	65653.338199	0.000006	-1.252096
23	28	178	6.875736	0.087772	-1.956523
23	29	256	451366.949535	0.000001	-4.116240
23	30	27	2917830.388618	0.000000	-0.295903
23	31	216	267322.688036	0.000003	-4.055521
23	32	184	2.618822	0.254145	-1.277960
23	33	56	12597318.421913	0.000000	-0.447103
23	34	-1	-1	-1	-1
23	35	181	6580201.543375	0.000000	-1.083767
23	36	209	7902.746083	0.000033	-0.714801
23	37	192	51257190.188437	0.000000	-1.821265
23	38	186	6610.562846	0.000017	-0.254160
23	39	147	91679.151923	0.000009	-9.948979
23	40	40	597634006505355524969753575125547072369503994881308125044360096375635968.000000	0.000000	-15202.884010
23	41	128	474324.296716	0.000001	-1.774738
23	42	125	2.093651	0.166224	-0.538185
23	43	137	92557.949263	0.000009	-8.367803
23	44	155	30467290.560588	0.000000	-1.290933
23	45	145	15260456.238253	0.000000	-1.752533
23	46	140	41261476.106807	0.000000	-1.928910
23	47	175	0.903775	0.758979	-0.334558
23	48	127	30837.240918	0.000007	-0.557579
23	49	118	109166730.653458	0.000000	-0.838228
23	50	124	393032.787747	0.000001	-2.640914
23	51	167	370852.862718	0.000002	-2.975318
23	52	134	600048.935298	0.000001	-1.347699
23	53	144	85070422.053179	0.000000	-2.125896
23	54	149	2573136.957853	0.000000	-2.342933
23	55	113	31453505.389704	0.000000	-1.067274
24	25	601	8.286458	0.069271	-1.910876
24	26	9015	3.077691	0.115678	-0.681301
24	27	8130	2.774396	0.126281	-0.636690
24	28	479	39.241179	0.014033	-2.277748
24	29	11276	3.214452	0.116838	-0.739188
24	30	187	9634462.230541	0.000000	-1.770686
24	31	9304	3.369165	0.108328	-0.729879
24	32	378	11.528720	0.048230	-1.968509
24	33	198	2.372886	0.273014	-1.138559
24	34	40	11221978508439952817043481548554240.000000	0.000000	-2.209821
24	35	394	20.855380	0.021636	-1.487797
24	36	423	15.435454	0.028065	-1.345796
24	37	612	46.985088	0.009641	-1.582742
24	38	436	11.068400	0.030757	-0.901558
24	39	7697	3.463682	0.109294	-0.771192
24	40	1358	0.507050	0.302933	-0.002941
24	41	7598	2.746077	0.125630	-0.622716
24	42	226	16.048041	0.034951	-2.135228
24	43	8390	3.493930	0.104063	-0.737818
24	44	9169	2.801904	0.121306	-0.618652
24	45	9306	3.468605	0.101422	-0.707555
24	46	9636	1.610852	0.150099	-0.315072
24	47	2019	2.149970	0.143544	-0.484108
24	48	8425	3.228347	0.108650	-0.684183
24	49	8299	3.271000	0.102312	-0.651767
24	50	7924	3.032096	0.108252	-0.617161
24	51	9616	3.034142	0.116139	-0.668969
24	52	8678	2.664944	0.127430	-0.602838
24	53	8767	2.841423	0.116784	-0.606477
24	54	10210	1.129016	0.164565	-0.181075
24	55	7131	3.116263	0.115942	-0.696856
25	26	424	91246.487164	0.000006	-2.133706
25	27	468	21.258535	0.025301	-2.048602
25	28	363	1.253867	0.292249	-0.361752
25	29	723	12.355196	0.046865	-2.158898
25	30	36	13999880122965236492795904.000000	0.000000	-2.362104
25	31	627	10.742411	0.053766	-2.078284
25	32	429	0.000167	0.526559	0.256393
25	33	103	821965.839243	0.000000	-0.747432
25	34	7	500456.822002	0.000001	-1.641344
25	35	419	3.913302	0.048777	-0.367260
25	36	488	0.478312	0.136024	0.004888
25	37	456	2.249983	0.119366	-0.430626
25	38	423	0.234172	0.163865	0.067568
25	39	361	13.627668	0.041922	-2.147496
25	40	112	246530329.419509	0.000000	-0.742006
25	41	349	29279.241832	0.000016	-1.683317
25	42	242	0.449324	0.533441	0.029589
25	43	335	47494.465544	0.000011	-2.137786
25	44	383	16.985453	0.033019	-2.154896
25	45	396	40.860590	0.013840	-2.417083
25	46	342	6.519520	0.075256	-1.372995
25	47	415	0.838836	0.577694	-0.234311
25	48	292	3803234.210274	0.000000	-0.924412
25	49	262	6359526.663818	0.000000	-1.031956
25	50	275	146688.572896	0.000003	-1.764059
25	51	393	17.375856	0.033329	-2.307348
25	52	304	352930.761804	0.000001	-1.614057
25	53	343	3143864.028606	0.000000	-2.573451
25	54	408	3.921719	0.144250	-1.365773
25	55	273	657599.337224	0.000001	-1.049690
26	27	7537	3.199152	0.119578	-0.753578
26	28	385	21.617212	0.020382	-1.434318
26	29	9391	3.196373	0.108832	-0.674762
26	30	180	33297.796200	0.000014	-1.738208
26	31	7989	3.947558	0.100760	-0.864370
26	32	256	697171.737717	0.000001	-2.204975
26	33	166	11526.473986	0.000054	-3.295597
26	34	39	52083064896004517155198468096.000000	0.000000	-1.022872
26	35	262	26.909217	0.018525	-1.816740
26	36	282	15.807554	0.030876	-1.647722
26	37	452	24.014528	0.020810	-1.806084
26	38	303	11.020394	0.033839	-1.024813
26	39	7141	3.471563	0.113371	-0.808693
26	40	1310	2.000565	0.163754	-0.491493
26	41	7309	3.180692	0.115508	-0.717075
26	42	156	12255582.495136	0.000000	-1.412188
26	43	7477	3.710976	0.095577	-0.733783
26	44	8188	3.900034	0.098676	-0.825835
26	45	8101	3.544741	0.106559	-0.776744
26	46	8578	1.598127	0.146755	-0.304361
26	47	1954	1.916667	0.157454	-0.440341
26	48	7770	4.396729	0.081333	-0.787344
26	49	7618	4.045014	0.091097	-0.793755
26	50	7239	3.272820	0.106302	-0.681756
26	51	8165	3.580069	0.095502	-0.692858
26	52	7677	3.052160	0.117943	-0.687313
26	53	8000	3.689759	0.091606	-0.691432
26	54	9087	1.043900	0.157616	-0.149001
26	55	6763	3.411834	0.101954	-0.693583
27	28	381	604986.184558	0.000001	-1.898080
27	29	8303	3.436037	0.105253	-0.728104
27	30	165	1722644.903793	0.000000	-1.164169
27	31	7502	3.247635	0.121184	-0.784556
27	32	306	7.749140	0.055915	-1.194746
27	33	181	6.361520	0.092552	-1.819445
27	34	42	41588.935672	0.000009	-1.197930
27	35	292	24.127184	0.020799	-1.820833
27	36	308	249452.667567	0.000002	-1.745509
27	37	469	8.256359	0.060713	-1.518695
27	38	300	17.856899	0.020119	-1.025602
27	39	7039	3.941044	0.096909	-0.821454
27	40	1289	1.915988	0.170678	-0.476522
27	41	7214	2.798866	0.125682	-0.642347
27	42	200	21.148617	0.019942	-1.332360
27	43	7072	3.531294	0.096739	-0.688475
27	44	7564	3.408112	0.114099	-0.790653
27	45	7246	3.047652	0.113537	-0.656608
